start_station_name,cluster,lat,lng,total_count
Damen Ave & Evergreen Ave,2,41.90605068434129,-87.67758064154495,712
Damen Ave & Foster Ave,2,41.97580302520025,-87.67950884486045,5389
Damen Ave & Grand Ave,2,41.89239693073078,-87.67688646038557,3526
Damen Ave & Lake St,1,41.88496205722741,-87.67684000060127,4236
Damen Ave & Leland Ave,2,41.967082204454165,-87.6790762168909,6720
Damen Ave & Madison St,0,41.88137377312604,-87.6749288997036,2753
Damen Ave & Melrose Ave,2,41.94059912462404,-87.6785020864555,3910
Damen Ave & Ohio St,2,41.892396251400605,-87.6768859678246,1474
Damen Ave & Pierce Ave,0,41.9092378199114,-87.67763177545544,13194
Damen Ave & St Paul Ave,2,41.91301201956192,-87.67777847681192,1712
Damen Ave & Sunnyside Ave,2,41.96324985974424,-87.67926075003335,3988
Damen Ave & Thomas St (Augusta Blvd),2,41.90131613279571,-87.6774123067629,7201
Damen Ave & Wabansia Ave,2,41.91226249154288,-87.67725742746809,3008
Damen Ave & Wellington Ave,2,41.935880297408815,-87.67842108511034,4513
Damen Ave & Wicker Park Ave,2,41.908811753272026,-87.6771905912764,6024
Damen Ave/Coulter St,2,41.84919969679239,-87.67563957656229,578
Dayton St & North Ave,2,41.910579273092814,-87.64942271578629,11216
Dearborn Pkwy & Delaware Pl,2,41.89896815049988,-87.62991428339133,21213
Dearborn St & Adams St,1,41.879374931673944,-87.629763178165,8643
Dearborn St & Adams St 1,1,41.8793563587,-87.6297910363,1485
Dearborn St & Adams St 2,1,41.87962793698618,-87.62936963071675,1158
Dearborn St & Adams St Corral,1,41.87939311782874,-87.6298728513066,1197
Dearborn St & Division St,0,41.904299742225994,-87.62991261387145,5456
Dearborn St & Erie St,2,41.89391310305132,-87.62965623807905,19772
Dearborn St & Madison St,1,41.88205546369791,-87.62963989106944,2678
Dearborn St & Maple St,2,41.90191083766068,-87.63026063362547,5850
Dearborn St & Monroe St,1,41.88131062637219,-87.6295207724185,11220
Dearborn St & Van Buren St,2,41.87626871940663,-87.62915656921062,6908
Dearborn St & Washington St,1,41.882985530747156,-87.62931448616992,1230
Delano Ct & Roosevelt Rd,0,41.867490671562784,-87.63219014778433,6581
Desplaines St & Jackson Blvd,2,41.878119468473635,-87.64395037937125,12212
Desplaines St & Kinzie St,2,41.88871102249986,-87.64444741001755,21690
Desplaines St & Randolph St,2,41.88369953070566,-87.64424169776375,7145
Dodge Ave & Church St,2,42.04830817108701,-87.69822666535268,862
Dodge Ave & Main St,2,42.0346356448293,-87.69918673567369,701
Dorchester Ave & 49th St,2,41.805772200875765,-87.59246382843261,1135
Dorchester Ave & 53rd St,2,41.79943039581874,-87.59226906061983,1644
Dorchester Ave & 63rd St,2,41.780405776148264,-87.59141503133837,748
Drake Ave & Addison St,0,41.94732825893682,-87.71758242632214,1757
Drake Ave & Montrose Ave,2,41.96115390433748,-87.71657033440356,1292
Drexel Ave & 60th St,2,41.78586012366293,-87.60455389986481,4468
DuSable Lake Shore Dr & Belmont Ave,2,41.940773411956776,-87.63919029912458,16465
DuSable Lake Shore Dr & Diversey Pkwy,2,41.93258677395691,-87.63642757142331,18568
DuSable Lake Shore Dr & Monroe St,2,41.880959691112935,-87.6167436250471,39467
DuSable Lake Shore Dr & North Blvd,2,41.91172227508728,-87.62680403851154,33695
DuSable Lake Shore Dr & Wellington Ave,2,41.93669032211873,-87.63682855899161,15018
DuSable Museum,2,41.791567701030594,-87.60785213516813,659
Dusable Harbor,2,41.886975275017626,-87.61281346291112,20703
Eastlake Ter & Howard St,2,42.01920198625155,-87.66430320051273,1536
Eckhart Park,2,41.896375119301155,-87.66098488197645,6661
Eddy/Seminary Corral,0,41.946131548534666,-87.6566674312,1500
Elizabeth St & Fulton St,1,41.886755966707206,-87.65935065266817,6865
Elizabeth St & Randolph St,2,41.88433752340829,-87.65890413813202,9552
Ellis Ave & 53rd St,2,41.79933699785105,-87.60095961209986,6194
Ellis Ave & 55th St,2,41.794300682170814,-87.60144949727282,17010
Ellis Ave & 58th St,1,41.78874530769107,-87.60133329316655,7853
Ellis Ave & 60th St,2,41.78509861923507,-87.60107369058176,16103
Elmwood Ave & Austin St,2,42.02578391427107,-87.68410787510989,1092
Elston Ave & Cortland St,2,41.91643380465461,-87.666747329562,11242
Elston Ave & George St,2,41.93400289100272,-87.69082292561265,1469
Elston Ave & Henderson St,2,41.94150348832468,-87.70102923123495,847
Elston Ave & Wabansia Ave,0,41.912919238444246,-87.66416868920383,2762
Emerald Ave & 28th St,2,41.843579883532264,-87.64536899088213,1612
Emerald Ave & 31st St,2,41.838198206671265,-87.64514296857023,3404
Evanston Civic Center,2,42.05704352202333,-87.68655435544515,1586
Fairbanks Ct & Grand Ave,2,41.891846467916174,-87.62058117624403,15726
Fairbanks St & Superior St,1,41.895751583602916,-87.62010841437967,6374
Federal St & Polk St,2,41.872078268317786,-87.62954534609489,16313
Field Blvd & South Water St,2,41.886348454302826,-87.61751621511765,13183
Field Museum,0,41.86531196668723,-87.61787530252002,12111
Financial Pl & Ida B Wells Dr,2,41.875023496157,-87.63309488474823,8656
Fort Dearborn Dr & 31st St,2,41.83855467648222,-87.60822190471677,1603
Fort Dearborn Dr & 31st St*,2,41.83867445438679,-87.60882605316618,4062
Francisco Ave & Bloomingdale Ave,2,41.91396085172374,-87.69939600253932,1314
Francisco Ave & Chicago Ave,0,41.89574456922465,-87.69865230751775,1972
Francisco Ave & Foster Ave,2,41.97563293295751,-87.70141952607239,2381
Francisco Ave & Montrose Ave,2,41.96104769427877,-87.70090554077876,1130
Franklin St & Adams St ,1,41.87942848407508,-87.6355039895147,8928
Franklin St & Adams St Corral,1,41.8794092033397,-87.63557690687017,1887
Franklin St & Chicago Ave,2,41.89679444190109,-87.63564266924614,12972
Franklin St & Illinois St,2,41.89102372979677,-87.63547726998992,13443
